heuristic,weight,avg_score,avg_max_tile
max_tile,1.0,877.3333333333334,85.33333333333333
empty_cells,1.0,2601.3333333333335,213.33333333333334
monotonicity,1.0,8885.333333333334,682.6666666666666
smoothness,1.0,4765.333333333333,384.0
corner_bonus,1.0,849.3333333333334,64.0
